,code,name,times_4,net40,net41
225,600279,重庆港九,2.31,3399.97,7846.04
226,600992,贵绳股份,0.46,4524.82,2103.52
227,000068,华控赛格,0.21,4685.48,997.52
228,600665,天地源,3.23,7133.2,23032.81
229,600860,*ST京城,1.69,-8789.48,-14878.76
230,002206,海 利 得,3.53,7224.89,25510.96
231,600597,光明乳业,3.68,15284.01,56318.54
232,300049,福瑞股份,5.35,2260.87,12104.79
233,600310,桂东电力,2.28,9187.5,20940.02
234,600768,宁波富邦,2.15,850.24,1831.38
235,600300,维维股份,0.99,7072.96,7012.53
236,300024,机器人,19.7,2085.2,41077.36
237,002178,延华智能,1.92,2316.51,4446.38
238,600184,光电股份,4.8,617.35,2960.92
239,000550,江铃汽车,2.18,60361.08,131801.61
240,600511,国药股份,6.47,8461.12,54760.69
241,000829,天音控股,1.58,14118.05,22342.68
242,300036,超图软件,27.51,463.26,12745.02
243,600125,铁龙物流,1.36,17720.24,24156.11
244,002102,冠福股份,7.22,3396.56,24540.11
245,600166,福田汽车,11.9,4762.25,56682.83
246,000735,罗 牛 山,-0.92,-8649.68,7988.14
247,300059,东方财富,647.41,110.25,71376.88
248,600782,新钢股份,9.37,5367.3,50292.27
249,300039,上海凯宝,13.54,2086.68,28260.68
250,000766,通化金马,12.93,1651.01,21346.15
251,600398,海澜之家,31.95,9774.29,312264.73
252,600738,兰州民百,2.07,3015.82,6243.88
253,600070,浙江富润,11.92,844.2,10064.87
254,000547,航天发展,16.39,1488.93,24402.04
255,600118,中国卫星,7.21,5515.37,39766.43
256,002059,云南旅游,4.41,1513.78,6679.74
257,600818,中路股份,4.38,2062.93,9036.5
258,000533,万 家 乐,4.63,4896.68,22665.79
259,300247,乐金健康,6.75,1268.67,8563.45
260,000753,漳州发展,15.69,1299.62,20397.09
261,600886,国投电力,9.54,41073.68,391644.76
262,600105,永鼎股份,3.87,6469.32,25052.98
263,600206,有研新材,2.68,1787.92,4789.38
264,600539,狮头股份,-1.04,1012.29,-1047.95
265,600258,首旅酒店,2.67,7900.27,21093.85
266,000985,大庆华科,3.16,1055.08,3334.2
267,002084,海鸥卫浴,0.73,11609.18,8497.55
268,002285,世联行,10.37,7205.02,74721.52
269,000545,金浦钛业,-3.37,-3581.67,12080.38
270,000002,万 科Ａ,9.76,215463.93,2102260.63
271,600866,星湖科技,1.41,1727.68,2430.62
272,000988,华工科技,6.5,3536.65,22980.98
273,002182,云海金属,2.38,7128.37,16930.22
274,002252,上海莱士,31.81,5071.12,161315.36
275,000050,深天马Ａ,6.07,9379.56,56917.74
276,600761,安徽合力,1.6,24673.72,39568.4
277,002215,诺 普 信,-9.24,2990.41,-27624.67
278,601002,晋亿实业,0.79,9027.95,7119.05
279,600259,广晟有色,-0.44,-5990.01,2632.0
280,002358,森源电气,20.18,1637.68,33055.74
281,600731,湖南海利,1.64,862.04,1415.5
282,002132,恒星科技,1.99,5320.58,10576.31
283,600058,五矿发展,0.05,53064.05,2895.45
284,000831,*ST五稀,0.38,4917.04,1858.91
285,600739,辽宁成大,2.02,47008.21,94780.41
286,300006,莱美药业,0.82,854.32,698.11
287,002334,英威腾,3.51,1939.37,6806.73
288,601766,中国中车,21.41,52762.6,1129559.6
289,601872,招商轮船,2.09,82928.51,172996.87
290,000761,本钢板材,0.47,165135.93,78127.48
291,002187,广百股份,2.19,7207.37,15765.42
292,600820,隧道股份,13.21,12512.93,165298.73
293,000733,振华科技,8.76,2071.87,18150.27
294,002004,华邦健康,9.7,5844.6,56686.83
295,600360,华微电子,0.34,12029.28,4061.87
296,600545,新疆城建,-8.71,2616.69,-22799.4
297,600372,中航电子,-2.04,-22562.99,46041.36
298,601018,宁波港,1.43,160526.8,229892.0
299,600837,海通证券,49.6,16215.77,804333.45
300,600857,宁波中百,8.83,481.1,4249.91
301,600292,远达环保,2.7,5609.88,15157.72
302,600644,乐山电力,4.02,5263.36,21147.2
303,600018,上港集团,2.34,296322.15,693907.72
304,601211,国泰君安,7.22,136244.51,984141.67
305,601111,中国国航,2.14,319138.1,681401.5
306,600649,城投控股,3.72,56254.15,209474.29
307,002256,兆新股份,4.39,2639.71,11593.49
308,600152,维科精华,-1.84,3498.88,-6440.13
309,600048,保利地产,18.86,65877.07,1242155.11
310,600030,中信证券,4.37,237104.09,1036516.86
311,000532,华金资本,1.53,2661.94,4084.72
312,600804,鹏博士,123.55,620.48,76661.3
313,601288,农业银行,31.68,580700.0,18394100.0
314,600391,成发科技,1.08,3925.74,4255.0
315,002436,兴森科技,3.88,4965.61,19260.68
