,code,name,times_3,times_4,net30,net40,net31,net41
159,600961,株冶集团,-8.63,1.08,7007.62,1923.23,-60462.54,2068.94
160,002415,海康威视,8.32,13.52,70557.71,54884.58,586904.96,742226.2
161,600487,亨通光电,3.12,12.36,18388.09,10648.8,57281.58,131639.15
162,002011,盾安环境,0.51,0.55,16038.14,14984.82,8213.07,8301.31
163,002145,中核钛白,0.85,-0.31,-14924.52,-26793.81,-12636.65,8409.07
164,300141,和顺电气,0.9,1.66,2520.66,1794.44,2259.79,2972.91
165,600083,博信股份,-1.04,2.9,-1088.88,103.99,1135.78,301.3
166,600822,上海物贸,-22.14,0.21,7157.03,7077.6,-158440.47,1471.43
167,002296,辉煌科技,1.38,1.95,5438.04,4359.05,7492.38,8507.01
168,600960,渤海活塞,0.43,4.05,5135.25,2909.35,2232.61,11791.6
169,002620,瑞和股份,4.43,4.3,1461.37,2208.19,6480.83,9495.27
170,300056,三维丝,3.04,17.43,2264.34,1265.93,6887.32,22061.48
171,600685,中船防务,0.19,0.09,51496.19,82039.57,9832.07,7122.43
172,600641,万业企业,0.71,1.94,29626.36,37035.82,21147.25,71842.21
173,300258,精锻科技,2.93,9.34,4776.36,2041.41,13992.34,19068.57
174,300090,盛运环保,15.22,2.99,4859.34,3979.66,73965.77,11908.15
175,600870,厦华电子,0.14,0.01,10209.9,-100926.29,1399.03,-510.21
176,000595,*ST宝实,1.15,-3.78,-11952.43,2231.11,-13723.98,-8443.25
177,002717,岭南园林,4.75,11.85,3537.72,2200.12,16795.11,26080.41
178,601318,中国平安,3.9,94.25,1388300.0,66200.0,5420300.0,6239400.0
179,002096,南岭民爆,1.01,0.74,10791.99,4600.44,10944.07,3385.11
180,300477,合纵科技,3.03,5.95,2883.36,1476.22,8749.55,8779.37
181,600990,四创电子,3.71,6.0,3111.93,2159.07,11530.07,12945.5
182,000655,金岭矿业,0.05,-1.46,21700.76,38428.21,1044.79,-56256.37
183,000065,北方国际,3.87,12.78,5660.68,3607.84,21885.22,46104.9
184,600532,宏达矿业,-81.23,-1.56,436.45,-7343.68,-35453.24,11463.12
185,000721,西安饮食,-0.67,0.9,4700.12,1375.6,-3164.76,1235.12
186,300072,三聚环保,16.1,59.67,5097.87,2710.21,82056.48,161705.3
187,000632,三木集团,0.59,1.65,2049.84,1006.55,1216.21,1657.5
188,002477,雏鹰农牧,2.5,13.91,8831.61,6249.53,22042.23,86910.88
189,002132,恒星科技,0.42,1.36,9503.74,7804.82,3949.14,10576.31
190,002436,兴森科技,1.8,3.02,7771.22,6384.76,14020.97,19260.68
191,601991,大唐发电,1.9,-3.19,147946.9,82276.9,280903.3,-262333.1
192,600521,华海药业,2.68,3.34,16497.84,15006.65,44247.24,50083.14
193,300103,达刚路机,0.82,0.6,4614.38,3946.81,3765.21,2364.37
194,000826,启迪桑德,6.39,9.71,14572.46,11131.88,93073.96,108135.94
195,002434,万里扬,1.54,3.47,13754.21,8989.96,21164.87,31225.56
196,002174,游族网络,52.36,66.64,984.62,882.23,51556.66,58787.99
197,600819,耀皮玻璃,1.73,8.09,-21086.99,2792.15,-36426.72,22577.46
198,002634,棒杰股份,1.71,2.42,2121.67,1667.5,3623.0,4039.81
199,601188,龙江交通,2.52,89.85,10972.0,321.8,27605.73,28912.68
