,code,times_jan,times_mar,jan0,mar0,jan1,mar1
902,000818,6.83,3.99,1.81,12.37,3.26,13.01
903,000820,12.12,8.1,2.52,30.54,5.21,42.21
904,000822,1.57,0.72,4.53,7.13,9.24,6.62
905,000823,2.91,1.83,4.24,12.32,7.75,14.2
906,000825,0.67,0.62,5.95,3.96,7.64,4.76
907,000826,8.98,7.76,3.65,32.76,4.46,34.6
908,000828,7.51,1.66,1.69,12.69,8.58,14.2
909,000830,2.33,1.1,2.42,5.63,5.27,5.8
910,000831,3.8,2.33,3.24,12.32,5.86,13.65
911,000835,5.75,2.76,2.27,13.06,3.98,10.97
912,000836,9.23,6.19,0.77,7.11,1.32,8.17
913,000837,1.47,1.19,5.77,8.49,7.84,9.31
914,000838,6.25,3.67,1.46,9.12,2.2,8.08
915,000839,2.29,2.57,4.02,9.21,4.33,11.14
916,000848,6.52,4.74,1.73,11.28,2.35,11.13
917,000850,2.14,1.19,2.81,6.01,5.19,6.17
918,000851,1.43,1.03,8.35,11.94,12.1,12.45
919,000858,2.94,3.0,11.77,34.55,14.29,42.8
920,000859,2.84,1.47,2.06,5.86,4.41,6.49
921,000860,3.3,2.17,6.49,21.43,10.12,21.94
922,000861,8.98,4.73,0.54,4.85,0.97,4.59
923,000868,5.33,2.94,1.26,6.71,2.36,6.95
924,000869,1.24,1.14,29.19,36.24,33.08,37.6
925,000875,2.18,1.19,2.97,6.46,5.02,5.97
926,000876,3.22,2.16,2.51,8.09,3.72,8.02
927,000877,10.0,8.62,0.71,7.1,1.8,15.52
928,000878,1.2,0.87,9.89,11.87,16.76,14.64
929,000881,11.33,4.53,2.44,27.64,5.7,25.8
930,000882,1.06,0.64,4.31,4.56,6.51,4.14
931,000883,5.44,2.5,0.85,4.62,1.94,4.85
932,000885,8.35,6.06,2.24,18.71,4.39,26.6
933,000886,2.21,1.26,2.34,5.17,4.27,5.36
934,000888,3.0,2.15,4.01,12.03,5.66,12.19
935,000889,7.53,4.0,2.02,15.21,4.22,16.88
936,000890,4.24,2.22,2.83,12.01,5.04,11.18
937,000892,6.34,2.07,2.19,13.88,6.02,12.44
938,000897,1.11,0.76,3.93,4.35,6.34,4.79
939,000898,0.51,0.48,9.79,5.03,11.24,5.42
940,000899,4.4,2.07,2.13,9.37,4.64,9.61
941,000900,3.22,2.09,2.49,8.02,4.16,8.7
942,000901,6.32,3.69,5.55,35.1,9.43,34.81
943,000905,1.51,1.45,6.86,10.35,9.37,13.55
944,000906,3.28,1.8,4.64,15.21,8.53,15.35
945,000909,6.67,3.55,2.35,15.68,4.3,15.25
946,000910,2.74,2.02,6.88,18.88,10.58,21.38
947,000913,5.0,3.29,3.36,16.79,5.33,17.51
948,000915,15.54,7.81,2.8,43.51,5.35,41.8
949,000917,5.52,2.57,2.6,14.34,5.37,13.81
950,000919,4.67,2.1,2.93,13.68,6.36,13.36
951,000920,4.65,1.97,3.23,15.01,7.3,14.38
952,000925,14.08,4.79,1.73,24.36,5.12,24.5
953,000926,2.08,1.49,6.06,12.59,8.64,12.86
954,000927,1.17,0.74,5.21,6.11,9.88,7.31
955,000928,3.64,2.29,4.9,17.85,9.58,21.91
956,000929,4.53,2.59,4.25,19.26,6.84,17.71
957,000930,2.46,1.55,5.57,13.7,8.29,12.85
958,000932,1.5,0.7,4.01,6.03,7.01,4.94
959,000933,2.04,1.85,2.71,5.52,4.04,7.47
960,000936,4.18,2.6,2.36,9.86,3.61,9.37
961,000937,5.74,2.92,1.15,6.6,2.25,6.57
962,000938,7.88,4.71,7.29,57.41,12.08,56.89
963,000939,5.07,3.35,2.46,12.47,3.67,12.29
964,000948,4.62,2.64,3.83,17.7,6.37,16.83
965,000949,2.34,1.07,2.59,6.07,5.89,6.32
966,000950,3.26,1.9,2.67,8.7,4.98,9.48
967,000951,1.22,1.03,11.1,13.55,14.71,15.16
968,000952,6.1,2.74,3.2,19.51,7.46,20.41
969,000955,3.81,1.78,2.04,7.77,3.96,7.06
970,000957,16.98,6.78,0.93,15.79,2.3,15.6
971,000958,5.16,2.93,2.77,14.3,4.77,13.99
972,000959,2.49,1.45,2.78,6.91,4.87,7.06
973,000960,2.15,1.03,6.19,13.32,12.67,13.1
974,000961,16.48,6.02,0.64,10.55,1.39,8.37
975,000962,1.66,1.04,7.09,11.76,11.14,11.61
976,000963,62.02,21.59,1.16,71.94,4.02,86.8
977,000966,3.66,1.77,1.66,6.07,3.33,5.91
978,000967,9.69,6.11,1.46,14.15,2.54,15.51
979,000968,3.49,2.88,3.04,10.6,4.93,14.22
980,000969,2.14,1.54,4.94,10.58,6.71,10.36
981,000970,3.55,2.3,3.79,13.47,6.36,14.63
982,000971,8.98,4.05,2.61,23.45,5.15,20.87
983,000972,0.95,0.71,7.52,7.17,8.87,6.29
984,000973,5.36,3.18,1.41,7.56,2.85,9.05
985,000975,6.44,2.23,2.33,15.01,6.91,15.44
986,000976,4.1,2.05,2.3,9.42,4.86,9.94
987,000977,18.9,10.48,1.12,21.17,1.86,19.5
988,000978,1.53,0.93,7.47,11.43,12.19,11.33
989,000979,8.8,4.43,0.3,2.64,0.6,2.66
990,000980,7.39,2.74,2.03,15.01,5.61,15.39
991,000981,5.47,3.01,1.79,9.8,3.37,10.14
992,000983,4.39,2.48,1.92,8.42,3.64,9.01
993,000985,5.73,3.5,5.46,31.3,9.1,31.84
994,000988,6.69,3.83,2.35,15.71,4.02,15.39
995,000989,14.76,4.48,1.48,21.85,4.88,21.84
996,000990,4.17,1.73,3.74,15.6,9.18,15.92
997,000993,4.29,2.36,3.03,13.0,5.51,12.98
998,000995,3.74,2.4,4.8,17.96,6.55,15.74
999,000996,10.46,5.81,2.28,23.85,3.97,23.08
1000,000997,7.6,4.32,2.66,20.21,4.33,18.72
1001,000998,23.89,11.53,0.91,21.74,1.73,19.95
1002,000999,6.88,2.78,3.61,24.83,9.65,26.85
1003,001696,10.21,3.7,0.92,9.39,2.34,8.65
1004,001896,3.78,2.17,2.71,10.24,5.35,11.6
1005,002001,-18.79,-283.29,-1.05,19.73,-0.07,19.83
1006,002002,11.65,7.39,0.63,7.34,1.17,8.65
1007,002003,7.13,3.52,1.99,14.19,4.21,14.82
1008,002004,15.41,5.88,0.59,9.09,1.45,8.52
1009,002005,5.49,3.46,1.06,5.82,1.7,5.88
1010,002006,10.72,5.74,1.05,11.26,1.72,9.88
1011,002007,16.13,8.04,2.2,35.49,4.53,36.4
1012,002008,5.64,4.83,3.98,22.43,5.39,26.05
1013,002009,3.63,2.3,4.1,14.89,6.28,14.44
1014,002010,6.28,3.93,2.98,18.71,4.48,17.6
1015,002011,11.9,4.54,0.81,9.64,2.07,9.4
1016,002012,7.51,4.43,1.73,13.0,2.95,13.08
